"regime","tasks","algo","repeat",makespanAnalytic,makespanSim,"doi","utilization","bestFitness","schedulerMs"
"large","1000","IWHOLF","0",697.4693333333332,"1.8837395071938667E10","1.6554819350011534","0.5027667677818172","279.3688473694143","13629"
"large","1000","WHO","0","663.146","1.8837395071938667E10","1.4122223917383327","0.534138050955258","265.6085282890138","6506"
"large","1000","WOA","0","865.556","1.8837395071938667E10","2.0865795020473827","0.41093103350060894","346.680170355002","7727"
"large","1000","PSO","0","620.2280000000001","1.8837395071938667E10","1.4412501129456468","0.5671833153281047","248.42295251645047","1946"
"large","1000","ACO","0","922.8546666666664","1.8837395071938667E10","2.1457926738584896","0.39394800277954467","369.6127874986918","92598"
"large","1000","RR","0","714.016","1.8837395071938667E10","1.433752709213057","0.5070178331242637","285.9738769355861","2"
"large","1000","IWHOLF","1","663.2624","3.0964179383046288E10","1.971197415260492","0.5073058600109065","265.6991363547565","19145"
"large","1000","WHO","1","706.888","3.0964179383046288E10","1.6424961973469538","0.5079844490081543","283.1325341404625","6561"
"large","1000","WOA","1","908.218","3.0964179383046288E10","2.1450980918367946","0.401948228086568","363.7532859677399","8363"
"large","1000","PSO","1","651.752","3.0964179383046288E10","1.4618354763054815","0.5479994237197021","261.0450921195835","4405"
"large","1000","ACO","1","1020.2166666666669","3.0964179383046288E10","2.376157781126874","0.36393395997315486","408.5871141797393","115006"
"large","1000","RR","1","683.3553333333333","3.0964179383046288E10","1.3010256949032177","0.539043257432608","273.6837586636189","7"
"large","1000","IWHOLF","2","690.8673333333334","3.02960907861712E10","1.553433988031484","0.506635442417063","276.7206237672847","36189"
"large","1000","WHO","2","722.3926666666666","3.02960907861712E10","1.6665485631743262","0.5013941630497337","289.3395575969956","6946"
"large","1000","WOA","2","1039.1933333333334","3.02960907861712E10","2.569125459524847","0.34949276162135695","416.1960939493368","7725"
"large","1000","PSO","2","610.4412","3.02960907861712E10","1.4147170130845583","0.5651181539083624","244.5081449583092","2165"
"large","1000","ACO","2","782.4506666666666","3.02960907861712E10","1.7473144856020724","0.45958470942437907","313.3918815652922","91276"
"large","1000","RR","2","734.9346666666667","3.02960907861712E10","1.4332301519479196","0.49364435457801237","294.34934156151724","2"
