"regime","tasks","algo","n","mk_mean","mk_std","doi_mean","util_mean","sched_ms_mean","success_rate"
"large","800","ACO","3","741.1384","100.7199","2.1768","0.3963","38304.00","0.0000"
"large","800","PSO","3","474.9502","11.5275","1.5189","0.5754","1411.00","1.0000"
"large","800","WOA","3","763.2989","105.5225","2.4241","0.3822","4892.33","0.0000"
"large","700","RR","3","288.0448","18.4912","1.4271","0.5174","0.00","0.0000"
"large","300","IWHOLF","10","120.2748","12.0557","1.2973","0.6458","339.20","0.2000"
"large","700","WHO","3","263.9063","8.3696","1.4086","0.5510","867.67","0.3333"
"large","300","PSO","10","105.6488","11.6905","0.9398","0.7233","51.60","0.8000"
"large","300","ACO","10","165.8992","27.0890","1.8031","0.4815","472.20","0.1000"
"large","1000","IWHOLF","3","683.8664","18.1463","1.7267","0.5056","22987.67","0.3333"
"large","200","WOA","10","105.9591","16.7754","1.7168","0.4985","110.70","0.1000"
"large","500","RR","3","210.8318","20.5208","1.4942","0.5083","0.00","0.0000"
"large","800","RR","3","575.3202","14.0249","1.4395","0.5061","0.33","0.0000"
"large","500","PSO","3","161.1714","5.0057","1.2801","0.6208","186.33","1.0000"
"large","500","ACO","3","265.0770","30.2353","2.2242","0.4072","2717.00","0.0000"
"large","200","WHO","10","79.0841","8.7863","1.3657","0.6423","84.30","0.3000"
"large","500","WOA","3","257.0957","54.2402","2.2064","0.4166","707.33","0.0000"
"large","1000","WHO","3","697.4756","30.7244","1.5738","0.5145","6671.00","0.3333"
"large","300","WHO","10","120.0669","14.8506","1.3841","0.6476","140.60","0.4000"
"large","700","IWHOLF","3","270.9236","11.9424","1.4372","0.5373","1999.00","0.3333"
"large","700","WOA","3","337.3716","13.9030","1.9863","0.4248","1081.67","0.0000"
"large","500","WHO","3","192.6381","6.3710","1.7555","0.5374","585.33","0.0000"
"large","200","RR","10","100.4679","9.7658","1.3391","0.5457","0.00","0.0000"
"large","200","ACO","10","110.3142","17.0370","1.8737","0.4862","388.70","0.1000"
"large","200","PSO","10","68.3966","6.7045","0.9434","0.7343","31.40","0.8000"
"large","1000","WOA","3","937.6558","90.4844","2.2669","0.3875","7938.33","0.0000"
"large","700","ACO","3","327.3828","50.8277","1.7883","0.4634","4833.67","0.0000"
"large","700","PSO","3","234.7169","7.3826","1.2774","0.6005","315.00","1.0000"
"large","300","WOA","10","158.5160","26.1106","1.6686","0.5054","157.40","0.1000"
"large","1000","PSO","3","627.4737","21.5875","1.4393","0.5601","2838.67","1.0000"
"large","800","IWHOLF","3","560.8873","5.3345","1.8381","0.4918","11985.33","0.0000"
"large","1000","ACO","3","908.5073","119.5305","2.0898","0.4058","99626.67","0.0000"
"large","800","WHO","3","542.2633","14.6481","1.5999","0.5145","4544.67","0.0000"
"large","200","IWHOLF","10","78.6785","11.7693","1.3978","0.6520","280.70","0.4000"
"large","500","IWHOLF","3","206.8198","9.2975","1.7835","0.5088","1258.33","0.0000"
"large","1000","RR","3","710.7687","25.9425","1.3893","0.5132","3.67","0.3333"
"large","300","RR","10","146.0526","12.1924","1.2675","0.5592","0.00","0.0000"
