"regime","tasks","algo","n","mk_mean","mk_std","doi_mean","util_mean","sched_ms_mean","success_rate"
"small","300","IWHOLF","3","127.3756","1.6922","1.8748","0.4890","811.67","0.0000"
"small","600","IWHOLF","3","446.6662","21.2362","2.0236","0.4742","8198.67","0.0000"
"small","100","WOA","10","57.6180","13.3221","2.0865","0.4555","133.40","0.0000"
"small","600","WOA","3","650.2638","139.4371","2.8075","0.3432","3945.67","0.0000"
"small","400","RR","3","305.1131","1.5810","1.5893","0.4776","0.00","0.0000"
"small","100","ACO","10","56.3887","9.2416","2.2130","0.4477","327.50","0.0000"
"small","100","PSO","10","35.7151","3.7690","1.1147","0.6792","64.20","0.9000"
"small","600","WHO","3","430.0753","7.5929","1.9198","0.4931","3998.67","0.0000"
"small","200","WHO","3","87.3456","6.2973","1.9616","0.4739","310.33","0.0000"
"small","50","PSO","10","18.5439","2.2098","1.4814","0.6439","35.70","0.8000"
"small","50","ACO","10","29.1436","5.1896","2.3463","0.4272","236.30","0.0000"
"small","300","WHO","3","117.9707","15.5106","1.6439","0.5306","332.00","0.3333"
"small","600","ACO","3","578.8869","104.5920","2.2939","0.3845","29078.67","0.0000"
"small","300","RR","3","139.9422","6.2294","1.6936","0.4648","0.00","0.0000"
"small","300","ACO","3","150.3879","5.4063","2.2685","0.4170","1733.67","0.0000"
"small","300","PSO","3","99.5197","2.5103","1.3755","0.5915","107.67","1.0000"
"small","600","PSO","3","364.6401","28.0733","1.5303","0.5661","1119.00","1.0000"
"small","300","WOA","3","188.4311","35.3374","2.8224","0.3485","405.33","0.0000"
"small","600","RR","3","437.8296","2.6460","1.4784","0.4996","0.00","0.0000"
"small","50","WHO","10","22.5651","2.5025","1.8642","0.5342","50.70","0.2000"
"small","50","RR","10","28.6837","6.1544","1.8349","0.4718","0.00","0.0000"
"small","400","ACO","3","467.4884","56.8585","3.1362","0.3113","26508.33","0.0000"
"small","200","RR","3","96.4170","7.0006","1.7898","0.4477","0.00","0.0000"
"small","200","IWHOLF","3","82.3650","4.0072","1.9274","0.4913","704.00","0.0000"
"small","50","WOA","10","25.1113","4.3247","1.9883","0.4952","76.00","0.0000"
"small","50","IWHOLF","10","22.4639","2.9639","1.8630","0.5390","181.80","0.3000"
"small","400","PSO","3","250.5744","5.7964","1.6615","0.5462","828.33","1.0000"
"small","400","WOA","3","436.5498","27.8078","2.8109","0.3299","2838.67","0.0000"
"small","100","WHO","10","40.9920","2.9151","1.6446","0.5946","54.60","0.3000"
"small","100","IWHOLF","10","43.9133","6.0576","1.7047","0.5708","193.50","0.3000"
"small","400","IWHOLF","3","290.8369","8.4651","2.0484","0.4675","6686.67","0.0000"
"small","200","WOA","3","111.2433","21.2965","2.4936","0.3870","369.33","0.0000"
"small","200","PSO","3","68.9525","2.8706","1.4747","0.5726","113.00","1.0000"
"small","100","RR","10","51.7044","6.6899","1.4770","0.5198","1.60","0.0000"
"small","400","WHO","3","298.7109","15.1551","1.9637","0.4710","2761.33","0.0000"
"small","200","ACO","3","108.0833","7.2490","2.6591","0.3751","1391.67","0.0000"
